feature,base_rmse,ablated_rmse,rmse_change,base_r2,ablated_r2,r2_change
original_language_el,1.3732689722681009,1.3742613829525478,0.0009924106844469982,0.34414458112675705,0.34319631371375947,-0.0009482674129975832
original_language_is,1.3732689722681009,1.374169751188416,0.0009007789203152594,0.34414458112675705,0.3432838983243133,-0.0008606828024437796
original_language_lv,1.3732689722681009,1.3740980961281652,0.0008291238600643958,0.34414458112675705,0.343352384484652,-0.0007921966421050586
original_language_da,1.3732689722681009,1.3740194595564217,0.0007504872883208336,0.34414458112675705,0.343427539293398,-0.0007170418333590778
original_language_hu,1.3732689722681009,1.3739462667558366,0.0006772944877357912,0.34414458112675705,0.3434974874981219,-0.0006470936286351314
original_language_mr,1.3732689722681009,1.3739228499683056,0.0006538777002047524,0.34414458112675705,0.3435198654458115,-0.0006247156809455756
original_language_pa,1.3732689722681009,1.3738988102275607,0.0006298379594598114,0.34414458112675705,0.34354283831386234,-0.0006017428128947122
original_language_sw,1.3732689722681009,1.3738229925228502,0.0005540202547493767,0.34414458112675705,0.34361528863054824,-0.0005292924962088108
main_genre_War,1.3732689722681009,1.3738052360938418,0.0005362638257409014,0.34414458112675705,0.3436322558428796,-0.0005123252838774572
original_language_ms,1.3732689722681009,1.3737803400015325,0.0005113677334316336,0.34414458112675705,0.34365604501393876,-0.0004885361128182941
original_language_ks,1.3732689722681009,1.3737700834181474,0.0005011111500465848,0.34414458112675705,0.34366584544735257,-0.000478735679404485
main_genre_Western,1.3732689722681009,1.3737407295163324,0.0004717572482315635,0.34414458112675705,0.3436938934631468,-0.0004506876636102275
original_language_si,1.3732689722681009,1.3737294729017624,0.0004605006336615425,0.34414458112675705,0.3437046491384417,-0.0004399319883153785
original_language_tr,1.3732689722681009,1.3737280908817981,0.0004591186136972958,0.34414458112675705,0.34370596964999656,-0.0004386114767604976
original_language_yo,1.3732689722681009,1.373709637949538,0.0004406656814370802,0.34414458112675705,0.34372360118570777,-0.00042097994104928205
original_language_et,1.3732689722681009,1.3736948557834825,0.00042588351538164204,0.34414458112675705,0.3437377251814072,-0.0004068559453498377
original_language_kn,1.3732689722681009,1.3736687937138854,0.0003998214457845428,0.34414458112675705,0.34376262647700706,-0.0003819546497499937
original_language_lb,1.3732689722681009,1.3736655123616168,0.0003965400935159735,0.34414458112675705,0.3437657616482105,-0.00037881947854656595
original_language_ht,1.3732689722681009,1.3736436797391665,0.0003747074710656051,0.34414458112675705,0.3437866214577914,-0.00035795966896567943
original_language_ku,1.3732689722681009,1.3735473287205442,0.0002783564524433402,0.34414458112675705,0.343878675330189,-0.00026590579656804447
original_language_te,1.3732689722681009,1.3735134246661205,0.0002444523980196234,0.34414458112675705,0.34391106576638275,-0.00023351536037430343
main_genre_History,1.3732689722681009,1.3735085692922613,0.00023959702416043172,0.34414458112675705,0.34391570431067775,-0.0002288768160793042
original_language_sl,1.3732689722681009,1.3734730416996672,0.00020406943156636714,0.34414458112675705,0.34394964482568535,-0.000194936301071702
original_language_cs,1.3732689722681009,1.373456516995702,0.00018754472760118546,0.34414458112675705,0.34396543104406807,-0.00017915008268898358
