feature,perturbation,base_rmse,perturbed_rmse,rmse_change,base_r2,perturbed_r2,r2_change
original_language_af,1.2,1.3732689722681009,1.3732689722681009,0.0,0.34414458112675705,0.34414458112675705,0.0
original_language_am,0.8,1.3732689722681009,1.3732694867301218,5.144620209840411e-07,0.34414458112675705,0.34414408972591115,-4.914008459033781e-07
original_language_am,0.9,1.3732689722681009,1.3732694867301218,5.144620209840411e-07,0.34414458112675705,0.34414408972591115,-4.914008459033781e-07
original_language_am,1.1,1.3732689722681009,1.3732689722681009,0.0,0.34414458112675705,0.34414458112675705,0.0
original_language_am,1.2,1.3732689722681009,1.3732689722681009,0.0,0.34414458112675705,0.34414458112675705,0.0
original_language_ar,0.8,1.3732689722681009,1.3787449476053826,0.005475975337281724,0.34414458112675705,0.33890364332609146,-0.0052409378006655905
original_language_ar,0.9,1.3732689722681009,1.3787449476053826,0.005475975337281724,0.34414458112675705,0.33890364332609146,-0.0052409378006655905
original_language_ar,1.1,1.3732689722681009,1.3732689722681009,0.0,0.34414458112675705,0.34414458112675705,0.0
original_language_ar,1.2,1.3732689722681009,1.3732689722681009,0.0,0.34414458112675705,0.34414458112675705,0.0
original_language_as,0.8,1.3732689722681009,1.3733544137798035,8.544151170264414e-05,0.34414458112675705,0.3440629670761506,-8.161405060647109e-05
original_language_as,0.9,1.3732689722681009,1.3733544137798035,8.544151170264414e-05,0.34414458112675705,0.3440629670761506,-8.161405060647109e-05
original_language_as,1.1,1.3732689722681009,1.3732689722681009,0.0,0.34414458112675705,0.34414458112675705,0.0
original_language_as,1.2,1.3732689722681009,1.3732689722681009,0.0,0.34414458112675705,0.34414458112675705,0.0
original_language_az,0.8,1.3732689722681009,1.374402956383458,0.001133984115357256,0.34414458112675705,0.3430609817571735,-0.0010835993695835766
original_language_az,0.9,1.3732689722681009,1.374402956383458,0.001133984115357256,0.34414458112675705,0.3430609817571735,-0.0010835993695835766
original_language_az,1.1,1.3732689722681009,1.3732689722681009,0.0,0.34414458112675705,0.34414458112675705,0.0
original_language_az,1.2,1.3732689722681009,1.3732689722681009,0.0,0.34414458112675705,0.34414458112675705,0.0
original_language_bg,0.8,1.3732689722681009,1.374766139458045,0.001497167189944193,0.34414458112675705,0.34271374639262464,-0.0014308347341324135
original_language_bg,0.9,1.3732689722681009,1.374766139458045,0.001497167189944193,0.34414458112675705,0.34271374639262464,-0.0014308347341324135
original_language_bg,1.1,1.3732689722681009,1.3732689722681009,0.0,0.34414458112675705,0.34414458112675705,0.0
original_language_bg,1.2,1.3732689722681009,1.3732689722681009,0.0,0.34414458112675705,0.34414458112675705,0.0
original_language_bm,0.8,1.3732689722681009,1.3732689722681009,0.0,0.34414458112675705,0.34414458112675705,0.0
original_language_bm,0.9,1.3732689722681009,1.3732689722681009,0.0,0.34414458112675705,0.34414458112675705,0.0
original_language_bm,1.1,1.3732689722681009,1.3732689722681009,0.0,0.34414458112675705,0.34414458112675705,0.0
original_language_bm,1.2,1.3732689722681009,1.3732689722681009,0.0,0.34414458112675705,0.34414458112675705,0.0
original_language_bn,0.8,1.3732689722681009,1.3743764035536394,0.0011074312855385848,0.34414458112675705,0.3430863650283177,-0.0010582160984393685
original_language_bn,0.9,1.3732689722681009,1.3743764035536394,0.0011074312855385848,0.34414458112675705,0.3430863650283177,-0.0010582160984393685
original_language_bn,1.1,1.3732689722681009,1.3732689722681009,0.0,0.34414458112675705,0.34414458112675705,0.0
original_language_bn,1.2,1.3732689722681009,1.3732689722681009,0.0,0.34414458112675705,0.34414458112675705,0.0
original_language_bo,0.8,1.3732689722681009,1.3732689722681009,0.0,0.34414458112675705,0.34414458112675705,0.0
original_language_bo,0.9,1.3732689722681009,1.3732689722681009,0.0,0.34414458112675705,0.34414458112675705,0.0
original_language_bo,1.1,1.3732689722681009,1.3732689722681009,0.0,0.34414458112675705,0.34414458112675705,0.0
original_language_bo,1.2,1.3732689722681009,1.3732689722681009,0.0,0.34414458112675705,0.34414458112675705,0.0
original_language_bs,0.8,1.3732689722681009,1.3732689722681009,0.0,0.34414458112675705,0.34414458112675705,0.0
original_language_bs,0.9,1.3732689722681009,1.3732689722681009,0.0,0.34414458112675705,0.34414458112675705,0.0
original_language_bs,1.1,1.3732689722681009,1.3732689722681009,0.0,0.34414458112675705,0.34414458112675705,0.0
original_language_bs,1.2,1.3732689722681009,1.3732689722681009,0.0,0.34414458112675705,0.34414458112675705,0.0
original_language_ca,0.8,1.3732689722681009,1.3732689722681009,0.0,0.34414458112675705,0.34414458112675705,0.0
original_language_ca,0.9,1.3732689722681009,1.3732689722681009,0.0,0.34414458112675705,0.34414458112675705,0.0
